time,gFx,gFy,gFz,TgF
3.125000,-0.0424,0.9627,0.2554,0.997
3.135000,-0.0423,0.9621,0.2520,0.995
3.158000,-0.0384,0.9622,0.2477,0.994
3.160000,-0.0340,0.9631,0.2437,0.994
3.164000,-0.0321,0.9639,0.2420,0.994
3.174000,-0.0322,0.9645,0.2422,0.995
3.184000,-0.0331,0.9648,0.2427,0.995
3.195000,-0.0338,0.9655,0.2420,0.996
3.205000,-0.0337,0.9666,0.2411,0.997
3.214000,-0.0326,0.9675,0.2415,0.998
3.226000,-0.0325,0.9671,0.2433,0.998
3.234000,-0.0342,0.9662,0.2455,0.998
3.245000,-0.0370,0.9653,0.2466,0.997
3.255000,-0.0374,0.9644,0.2459,0.996
3.283000,-0.0371,0.9634,0.2438,0.994
3.285000,-0.0369,0.9624,0.2416,0.993
3.286000,-0.0384,0.9615,0.2399,0.992
3.301000,-0.0409,0.9606,0.2389,0.991
3.305000,-0.0436,0.9598,0.2382,0.990
3.314000,-0.0454,0.9594,0.2394,0.990
3.326000,-0.0448,0.9599,0.2411,0.991
3.335000,-0.0431,0.9601,0.2413,0.991
3.345000,-0.0415,0.9601,0.2402,0.991
3.355000,-0.0393,0.9602,0.2384,0.990
3.372000,-0.0381,0.9600,0.2364,0.989
3.376000,-0.0381,0.9596,0.2348,0.989
3.392000,-0.0404,0.9598,0.2354,0.989
3.394000,-0.0446,0.9596,0.2387,0.990
3.404000,-0.0501,0.9595,0.2422,0.991
3.414000,-0.0547,0.9589,0.2461,0.992
3.426000,-0.0536,0.9585,0.2481,0.992
3.435000,-0.0481,0.9590,0.2480,0.992
3.445000,-0.0413,0.9598,0.2474,0.992
3.455000,-0.0377,0.9609,0.2470,0.993
3.477000,-0.0365,0.9626,0.2470,0.994
3.479000,-0.0373,0.9640,0.2475,0.996
3.484000,-0.0414,0.9646,0.2483,0.997
3.496000,-0.0484,0.9650,0.2499,0.998
3.505000,-0.0539,0.9637,0.2529,0.998
3.514000,-0.0548,0.9628,0.2547,0.997
3.527000,-0.0506,0.9624,0.2537,0.997
3.535000,-0.0450,0.9611,0.2497,0.994
3.545000,-0.0407,0.9601,0.2446,0.992
3.555000,-0.0385,0.9600,0.2425,0.991
3.572000,-0.0386,0.9598,0.2430,0.991
3.590000,-0.0415,0.9600,0.2443,0.991
3.592000,-0.0459,0.9601,0.2466,0.992
3.595000,-0.0507,0.9601,0.2482,0.993
3.604000,-0.0514,0.9594,0.2477,0.992
3.614000,-0.0483,0.9591,0.2449,0.991
3.626000,-0.0434,0.9594,0.2409,0.990
3.635000,-0.0390,0.9598,0.2369,0.989
3.645000,-0.0360,0.9605,0.2358,0.990
3.655000,-0.0342,0.9610,0.2375,0.990
3.676000,-0.0343,0.9622,0.2404,0.992
3.677000,-0.0387,0.9633,0.2447,0.995
3.684000,-0.0443,0.9643,0.2504,0.997
3.700000,-0.0476,0.9646,0.2557,0.999
3.704000,-0.0475,0.9644,0.2592,1.000
3.714000,-0.0454,0.9646,0.2597,1.000
3.726000,-0.0406,0.9649,0.2581,1.000
3.735000,-0.0360,0.9651,0.2579,1.000
3.745000,-0.0368,0.9657,0.2590,1.001
3.755000,-0.0402,0.9657,0.2588,1.001
3.771000,-0.0431,0.9656,0.2574,1.000
3.789000,-0.0440,0.9657,0.2544,1.000
3.790000,-0.0439,0.9657,0.2513,0.999
3.794000,-0.0426,0.9659,0.2507,0.999
3.804000,-0.0426,0.9655,0.2507,0.998
3.814000,-0.0407,0.9653,0.2508,0.998
3.824000,-0.0397,0.9645,0.2195,0.990
3.835000,-0.0393,0.9640,0.2500,0.997
3.845000,-0.0420,0.9635,0.2808,1.005
3.854000,-0.0457,0.9621,0.2505,0.995
3.868000,-0.0485,0.9606,0.2507,0.994
3.882000,-0.0480,0.9600,0.2489,0.993
3.884000,-0.0459,0.9600,0.2448,0.992
3.895000,-0.0436,0.9595,0.2402,0.990
3.904000,-0.0421,0.9593,0.2372,0.989
3.915000,-0.0431,0.9594,0.2376,0.989
3.926000,-0.0436,0.9593,0.2405,0.990
3.935000,-0.0443,0.9594,0.2436,0.991
3.945000,-0.0459,0.9598,0.2465,0.992
3.955000,-0.0486,0.9606,0.2472,0.993
3.972000,-0.0500,0.9611,0.2472,0.994
3.975000,-0.0498,0.9615,0.2459,0.994
3.985000,-0.0485,0.9616,0.2437,0.993
3.995000,-0.0439,0.9612,0.2425,0.992
4.005000,-0.0407,0.9613,0.2417,0.992
